,N,i2f,numba,cupy,segyio
69,690,0.0026862759599998753,0.0031977304600150093,0.00261526488000527,0.006174550579996776
70,700,0.002726915652857055,0.003224914299935335,0.0027091338400350652,0.0061498904400014
71,710,0.002745020267144095,0.003280247219954617,0.0028163425200909845,0.006936936260001403
72,720,0.00279711498999924,0.0033052502400096272,0.0027418268800829537,0.007567213159998118
73,730,0.0028243451957145485,0.0032804538400523593,0.0027444851199834373,0.0069484461800016105
74,740,0.002890722875714735,0.003447157900081947,0.0028436525400320533,0.00699340556000152
75,750,0.002917814499999492,0.0034549420800613004,0.0028596443599963094,0.008061164779999217
76,760,0.002975148868571783,0.0035488561201054833,0.0028520066600322023,0.006886541960000159
77,770,0.003033351288572703,0.0036545621399272934,0.0028938567799195883,0.007725970659998893
78,780,0.003062644638571977,0.003683532799987006,0.0030136938599753193,0.007403400260002399
79,790,0.0030903189028569093,0.003811636320024263,0.0029903409599501174,0.0077318673199988554
80,800,0.0031737375599992187,0.0038577359999180773,0.0030011392400047044,0.0069210479399998805
81,810,0.003218798074285587,0.003944536060007522,0.0031529027601209236,0.008228437140001005
82,820,0.0032690743271437638,0.004120161999962875,0.0032742806199530607,0.007230804739999712
83,830,0.0033113410871432537,0.004092438119987492,0.003092090720019769,0.007985570539999572
84,840,0.0033931067571438688,0.004224462519923691,0.003292248339930666,0.007676268140000957
85,850,0.003400880571428258,0.004265093040012289,0.003291091319915722,0.00806946618000211
86,860,0.0034491140157147777,0.004316907179963891,0.003263076780058327,0.008697005920000719
87,870,0.003519643158571333,0.004452669399979641,0.0033623535600781906,0.00907595671999843
88,880,0.003563399044285559,0.004474294079846004,0.0032971910400374322,0.008376582519995282
89,890,0.003616693114287435,0.004633443499915302,0.0033244979401206368,0.008109676339997804
90,900,0.0036713706942854128,0.004646374740041211,0.0034662216798460577,0.00955690353999671
91,910,0.003714646571428862,0.0048111787200468825,0.0034875545599061296,0.009627708779996738
92,920,0.0037717317228556824,0.004781585879973136,0.003480717660058872,0.008301881760000924
93,930,0.0038064559028563446,0.004956294840012561,0.0035706789798859973,0.008227340640000875
94,940,0.0038457341828565667,0.004952000199918985,0.003543641359938192,0.008938926519999769
95,950,0.003912532571428398,0.005072365220039501,0.0035995230998378245,0.008503873100000874
96,960,0.003973956038572137,0.0050851180800236765,0.0037103928199940127,0.010544190000000526
97,970,0.004005057198571973,0.005233490600003278,0.0036588569599553013,0.00853510228000232
98,980,0.00407571916714265,0.00524865478007996,0.0036696050799946535,0.009278940839997177
99,990,0.00412201167571506,0.0053985259200271685,0.0038070953598798953,0.01159515630000442
100,1000,0.004175407652857887,0.0054183675400418,0.003739410059861257,0.009270065099999555
101,1010,0.00424932868428706,0.005584547459948226,0.003922614719995181,0.00923031882000032
102,1020,0.004271240119998895,0.005561315579980146,0.0038902473200869278,0.009180305319996477
103,1030,0.004285302522857169,0.005592662880007993,0.0038297771400539206,0.009296586359998854
104,1040,0.0043361615671431404,0.005688499520038022,0.003991005440038862,0.010566718499999298
105,1050,0.004377701068571176,0.005665429279979434,0.003953761760058115,0.009539896799999496
106,1060,0.004442731868571822,0.005778520639942144,0.004085279839928261,0.009561275460000615
107,1070,0.0044888376200002056,0.005777238119990215,0.004069897379959002,0.011830131480003274
108,1080,0.0045322272328582715,0.005943032139985007,0.004076166619852302,0.010107020200002807
109,1090,0.004584386967143733,0.006014438860001974,0.004238810999886482,0.012358963599999698
110,1100,0.004633325742858169,0.0060351999398699264,0.0041725683399999975,0.010028917480003657
111,1110,0.004698553750000168,0.006153777020008419,0.004293333360037651,0.010399382760003847
112,1120,0.004728960187142418,0.006195982599892886,0.004245477619988378,0.010962722459996712
113,1130,0.00482494654857159,0.006354342739869026,0.0043312489598611136,0.011452471440002226
114,1140,0.005065731474286232,0.006366580600006273,0.004281166900036624,0.010915159220000987
115,1150,0.0051213419985716825,0.006436861439942732,0.0043291861600300765,0.010385650779999197
116,1160,0.005184339445715003,0.006537033739878098,0.004428976819981471,0.011232314419999057
117,1170,0.005015217337142011,0.006649849700042979,0.00441030480003974,0.013125676559998283
118,1180,0.00503149251571488,0.006655076999959419,0.004513639440046973,0.011114819019996957
119,1190,0.005109937137142099,0.0068188952999480535,0.004442113799887011,0.014142971219998798
120,1200,0.005142494345714113,0.006877889360039262,0.004548937220024527,0.011453656620003586
121,1210,0.00518531172571459,0.006972822740208358,0.004592580759999691,0.01203552818000162
122,1220,0.005264234957142955,0.007029941700020572,0.004694079160035471,0.011606779519997872
123,1230,0.005290319218570402,0.00710325546002423,0.004629140860051848,0.013980292000003374
124,1240,0.005333913854285259,0.007209641480003484,0.0047367457400105195,0.011496496659997319
125,1250,0.0053692666442865244,0.007277157140051713,0.004739872680002009,0.011997447740002372
126,1260,0.005447107560000534,0.007397119460001704,0.004771760879957583,0.012055300519998582
127,1270,0.00544086046142963,0.00741976255987538,0.004865481879896834,0.012380668880000485
128,1280,0.0055566936942867485,0.007507596619907417,0.004875214819840039,0.013124098859998412
129,1290,0.005600139992857293,0.007568929059998482,0.004949476779947872,0.013777201320001495
130,1300,0.0056518135828576175,0.007665528479992645,0.004919799599956605,0.013002816239998083
131,1310,0.005688375471428507,0.0077281424598913875,0.005008672600015416,0.014123286839997034
132,1320,0.005757403890000725,0.007795522700180299,0.004939005899941549,0.013248037100001966
133,1330,0.005832293831428745,0.007812383999844315,0.005046522320044459,0.013547105759998884
134,1340,0.005873688695714268,0.007971374680055305,0.005037163040105952,0.013224200219997328
135,1350,0.0059362910985705,0.008054089560027932,0.005160186320063076,0.01452058562000275
136,1360,0.00603141821142864,0.008144318059930811,0.00512505108010373,0.013295115180001177
137,1370,0.0060148038414289265,0.008208285639848326,0.005272467840040917,0.014169613360002132
138,1380,0.006058287247143588,0.008281607180106221,0.005249935119936709,0.0139189029799968
139,1390,0.00609422389714447,0.008352244919951773,0.005238639860108378,0.0157607630599955
140,1400,0.006162425601429017,0.008451893239907804,0.005355223120059236,0.013749128839999685
141,1410,0.0062100490442857596,0.008571306220110273,0.00535724613997445,0.014400427440000385
142,1420,0.006300156845714549,0.00859004146004736,0.005428098639895325,0.013283441200003382
143,1430,0.006303890118571352,0.008670712639941484,0.005377870820084354,0.014183621420002054
144,1440,0.00637222782857212,0.008755293720023474,0.005532147579870071,0.013715110480002296
145,1450,0.006429922154286162,0.008757408800011034,0.005416422880007303,0.013522137240001939
146,1460,0.00645998209285673,0.008907639860044583,0.0057636387599632145,0.013309436120000556
147,1470,0.006538234592857017,0.008946543780111824,0.00602250890005962,0.013964927459996942
148,1480,0.006584628877141898,0.009042939020000631,0.0057759707999503005,0.014339967999999318
149,1490,0.006578116741428467,0.009146177579968936,0.00619805874004669,0.013289744359999531
150,1500,0.006673573037142627,0.009205177839903626,0.006067413720084005,0.013584052799997155
151,1510,0.006705494657142351,0.00925135967998358,0.006024533859963412,0.013831462600001032
152,1520,0.0067503938300004455,0.009340452220058068,0.005761595780058996,0.01383959030000142
153,1530,0.006820995612856678,0.00945512446014618,0.005839200880145654,0.01483233815999938
154,1540,0.006815040177141652,0.009577608719919226,0.005884934979985701,0.013898269819999315
155,1550,0.006907607598571823,0.00970353796001291,0.005877831879988662,0.01586350770000081
156,1560,0.006951782525714277,0.009755471080134156,0.0059685732200159694,0.015019534319999367
157,1570,0.006991157798572333,0.009750492000021042,0.005908015060049366,0.013975250299997697
158,1580,0.007091115842857627,0.009907184100011363,0.0060127586200542284,0.013916311920002044
159,1590,0.007100187907143273,0.009908776360025514,0.006058797320074518,0.01574696640000184
160,1600,0.007187132285714922,0.010035242059966549,0.006037196580000455,0.015223116359995856
161,1610,0.007203252437143419,0.010134841880062594,0.0062190956000267765,0.014872735880001074
162,1620,0.007271178688570866,0.010179275680129649,0.006192712260090048,0.015336905500000738
163,1630,0.00730595628714257,0.010261551900039193,0.006146475700006704,0.01591686885999934
164,1640,0.007332979221430053,0.010287324180026189,0.006296125339940772,0.015553338699996857
165,1650,0.007403014742856482,0.010362071440031286,0.00617667872007587,0.015441664240001957
166,1660,0.007474826081428806,0.010446310979968985,0.006285180800041416,0.015804410060002282
167,1670,0.007468693168571657,0.01055942364000657,0.006357259339856683,0.015672462520001318
168,1680,0.007530294575714963,0.010602468279976166,0.006380988099990645,0.014965893060000327
169,1690,0.007598289714285005,0.010746106379956473,0.0064357185799599394,0.01646812926000166
170,1700,0.007695383682857937,0.010815061020039138,0.006509921940014466,0.014683864220000942
171,1710,0.007682347044285181,0.010906825999991269,0.006585428359976504,0.016115208799999437
172,1720,0.007730068589999714,0.010970918140083085,0.006577364879922243,0.016594531819998794
173,1730,0.007789780100001086,0.011090796840071563,0.006643911799983471,0.018804023120001147
174,1740,0.007853033877142609,0.0112142915000004,0.006603761139995186,0.0161821108800018
